_recordId,_createdTime,Role,Company,Grade,Notes,Date,Status,Tracker #
rec10Yiy3usazziiq,2026-07-08T05:27:48.000Z,"Product Manager, Risk Product Experience",Stripe,C,,,,
rec1DGdyN6HDFTwIJ,2026-07-08T05:27:48.000Z,"Sr. Field Technical Program Manager, Forward Deployed Engineering",Databricks,B,,,,
rec1YXL4NttiDXFDt,2026-06-29T05:16:36.000Z,Group Product Manager - Bring Your Own Cloud,Datadog,C,"--- CONNECTION REQUEST (207 chars, covers Code Security / BYOC / APM PM II) ---
Hey Dardan, love what Datadog is building across observability and security. I am a Sr. PM and Scrum Master with 13 years in fintech and healthcare and would love to connect as I explore PM roles on your team.

--- INMAIL ---
Subject: Sr. PM Interest - Datadog Product Team

Hey Dardan,

Reached out because I have been digging into what Datadog is building and the product depth - from APM to cloud security and BYOC infrastructure - is genuinely impressive, and rare to see at that scale.

I am Rahil Nathani, a Senior PM and Scrum Master with 13 years of experience across Toyota, healthcare, and fintech. I hold a PMP and A-CSM. My background is in leading complex, cross-functional programs in regulated, high-stakes environments where observability, reliability, and tight engineering collaboration were not optional.

I noticed several open roles on your team - including Group PM in Code Security, Bring Your Own Cloud, and PM II on APM. Any of those would be a strong fit given my delivery and product leadership background.

Would love a quick conversation to learn more about what your team is focused on and see if there is a natural fit. Happy to send over my resume or connect however works best.

Thanks for the time,
Rahil Nathani
Dallas, TX | PMP | A-CSM",,,
rec1ujJWmpAR6mX5R,2026-06-18T05:14:30.000Z,"Technical Program Manager, Service Infrastructure",Stripe,B,"Covered by live-2026-06-12-30. The consolidated referral ask to Shamila leads with Enterprise Servicing and Capital Collections. Not sending a separate message for this posting, flag it if you want it added to the ask.",,,
rec233eXUDr2ru5dq,2026-07-16T03:23:37.000Z,"Staff Product Manager, ML Foundations and GenAI",Stripe,C,,,,
rec29RQOxbd0hXSqX,2026-06-18T05:14:30.000Z,Immigration Program Manager,Stripe,B,"Covered by live-2026-06-12-30. The consolidated referral ask to Shamila leads with Enterprise Servicing and Capital Collections. Not sending a separate message for this posting, flag it if you want it added to the ask.",,,
rec2EqimHLjFe7lBP,2026-07-03T05:16:50.000Z,"Staff Product Manager, Core Rider",Lyft,C,,,,
rec2PyeQK1lNFmhQE,2026-06-18T05:14:28.000Z,Delivery Technical Program Manager,Ontic,B,,,,
rec2fML5nITKj0rjl,2026-06-23T05:14:54.000Z,"Product Manager, Local Processor Acquiring",Stripe,C,,,,
rec34nuuXgwbTe9iI,2026-06-18T05:14:28.000Z,[Job-29886] Senior Scrum Master,CI&T,C,,,,
rec3JeoHlmwj2wBxX,2026-07-05T05:17:21.000Z,Senior Product Manager - Okta Identity Governance,Okta,C,,,,
rec3ODFHG7yIsU9gm,2026-06-12T04:08:07.000Z,Process Industrialization   Technical Project Manager R5035233 2,gevernova,B,auto-submit re-run 2026-06-02,2026-05-29,Blocked,134
rec3VLrfPCePc5XjV,2026-07-22T05:17:55.000Z,Staff Design Operations Program Manager,Mercury,C,,,,
rec42Iazuzbd0PFXu,2026-06-12T04:06:36.000Z,^Technical Program Manager and Quality Analyst - 6314910,accenture,B,auto-submit re-run 2026-06-01,2026-05-28,Blocked,115
rec49fn7Fxawi8W2r,2026-06-12T04:06:36.000Z,Manager   Scrum Master R0922627 1,cvshealth,A,auto-submit re-run 2026-06-02,2026-05-29,Blocked,125
rec4Bni0vZNBZwH5l,2026-07-03T05:16:50.000Z,Senior Partner Program Manager - Strategic Initiatives,Datadog,C,,,,
rec4PxW003kMZDltD,2026-07-06T05:16:48.000Z,Technical Program Manager,Stripe,B,,,,
rec4Yvv2L1P8OPiOw,2026-06-12T04:04:47.000Z,Senior Scrum Master,capitalrx,5.0/5,auto-submit re-run 2026-05-21,2026-05-07,Blocked,1
rec50dWRPpxEMCK1n,2026-06-12T04:04:47.000Z,Delivery Manager,datatonic,4.0/5,bat 6:10am — unverified (no confirm signal check pre-fix),2026-05-21,Submitted,77
rec53H3aKtsXYw1rT,2026-06-25T05:16:38.000Z,"[Job-29965] Senior Product Manager, Colombia",CI&T,C,,,,
rec56wycgIgftOMIr,2026-07-02T05:16:52.000Z,"Product Manager, Enterprise Software",Lyft,C,,,,
rec58kWe3HpwGpz05,2026-06-18T05:14:30.000Z,Senior Principal Technical Program Manager,Saviynt,B,,,,
rec5JI3cwp1xvoc78,2026-06-12T04:08:07.000Z,XMLNAME  Technical Program Manager and Quality Analyst   6314910 14402699 1,accenture,B,auto-submit,2026-06-02,Blocked,142
rec5KpgdL3CIfZYyC,2026-07-08T05:27:48.000Z,"Sr. Field Technical Program Manager, Forward Deployed Engineering - Canada",Databricks,B,,,,
rec5MCY7KGyn7bBIP,2026-07-16T03:23:37.000Z,"[Job-30402] Senior Product Manager, Brazil",CI&T,C,,,,
rec5OsDSMyGGXaud5,2026-06-18T05:14:31.000Z,"Program Manager, Enterprise Servicing",Stripe,B,"Hi Shamila, hope you're doing well! I've been keeping an eye on Stripe's openings and a couple really caught my eye, Program Manager on Enterprise Servicing and Operations Program Manager on Capital Collections. Both line up well with my background, 13 years running cross-functional delivery and program management (PMP and Advanced CSM certified), with time in fintech and healthcare. Would you be open to a quick chat about either team, or could you point me to the right person for a referral? Happy to send my resume over. Thanks so much, I really appreciate it.",,,
